Município/Estado,Arroz (2021),Arroz (2022),Arroz (2023),Soja (2021),Soja (2022),Soja (2023),Trigo (2021),Trigo (2022),Trigo (2023)
Paraná,21.171,20.074,20.606,5.518.476,5.652.609,5.760.969,1.152.429,1.192.847,1.318.386
Abatiá,28,2,2,10.220,10.470,9.960,-,2.850,3.500
Adrianópolis,10,12,10,-,-,20,-,-,-
Agudos do Sul,2,2,-,1.650,1.730,2.050,-,50,40
Almirante Tamandaré,-,-,-,150,154,170,-,-,60
Altamira do Paraná,-,-,-,1.850,2.500,2.500,250,100,600
Alto Paraíso,-,-,-,710,950,568,-,-,-
Alto Paraná,-,-,-,450,460,750,-,-,-
Alto Piquiri,-,-,-,30.000,30.000,30.000,100,850,375
Altônia,-,-,-,5.500,6.930,7.400,-,-,-
Alvorada do Sul,-,-,-,22.370,21.000,20.500,650,650,500
Amaporã,-,-,24,1.779,2.300,2.300,-,-,-
Ampére,1,1,1,8.120,8.220,8.750,3.500,2.500,4.500
Anahy,4,4,3,5.284,5.284,5.286,760,760,760
Andirá,48,12,13,13.000,13.390,16.500,3.120,920,2.000
Ângulo,-,-,-,6.815,6.876,7.048,-,-,-
Antonina,139,110,121,-,-,-,-,-,-
Antônio Olinto,15,15,15,9.000,10.000,10.000,1.200,2.800,1.500
Apucarana,8,8,6,21.000,21.500,22.500,6.500,8.500,12.000
Arapongas,-,-,-,21.700,21.650,22.200,7.000,8.000,12.500
Arapoti,5,5,5,34.900,33.300,33.500,16.500,16.000,13.000
Arapuã,1,1,1,12.000,12.000,12.000,13.000,4.500,4.500
Araruna,-,-,-,26.500,29.000,28.300,1.718,2.200,2.800
Araucária,-,-,-,17.000,17.100,15.000,3.700,2.800,2.500
Ariranha do Ivaí,1,1,1,13.000,14.200,14.200,10.000,5.900,7.400
Assaí,3,3,3,27.000,27.000,27.000,12.400,12.400,12.400
Assis Chateaubriand,-,-,-,71.905,65.401,71.300,3.500,2.000,2.000
Astorga,-,-,-,22.930,25.700,25.700,72,500,1.405
Atalaia,-,-,-,6.540,6.900,7.300,-,-,50
Balsa Nova,-,-,-,15.000,15.250,15.300,2.000,2.100,2.100
Bandeirantes,14,14,13,18.250,18.250,18.250,2.920,2.920,4.760
Barbosa Ferraz,3,1,1,15.000,15.700,15.700,1.700,1.000,1.800
Barra do Jacaré,3,3,3,5.400,5.400,5.400,1.800,1.200,1.200
Barracão,1,1,1,2.900,3.300,3.500,500,650,600
Bela Vista da Caroba,1,1,1,4.980,5.530,5.850,3.500,4.000,4.000
Bela Vista do Paraíso,-,-,-,17.000,17.160,17.160,1.380,2.780,2.780
Bituruna,15,15,15,3.200,3.500,3.800,380,450,400
Boa Esperança,-,-,-,25.200,25.100,25.300,900,900,1.300
Boa Esperança do Iguaçu,1,1,1,4.800,5.300,5.400,3.200,3.200,3.900
Boa Ventura de São Roque,20,20,20,20.600,21.000,22.100,6.700,7.000,6.500
Boa Vista da Aparecida,5,5,5,4.200,4.200,4.200,2.800,2.800,2.800
Bocaiúva do Sul,-,-,-,30,71,100,-,-,-
Bom Jesus do Sul,1,1,1,3.950,4.450,4.665,1.500,1.700,1.950
Bom Sucesso,-,-,-,5.200,7.000,7.000,1.700,3.000,4.000
Bom Sucesso do Sul,-,-,-,12.400,13.650,13.950,4.000,6.400,7.000
Borrazópolis,1,1,1,13.200,14.000,14.000,7.200,4.100,5.100
Braganey,2,2,2,17.700,17.700,17.700,4.550,4.550,4.550
Brasilândia do Sul,-,-,-,22.800,22.800,22.800,315,400,300
Cafeara,-,-,-,3.935,3.810,3.850,-,-,-
Cafelândia,-,-,-,23.520,23.635,23.635,13.135,8.000,8.000
Cafezal do Sul,-,-,-,11.400,11.800,12.450,400,125,200
Califórnia,3,3,2,7.000,7.000,7.050,3.600,3.400,3.800
Cambará,122,202,222,16.900,16.800,16.800,2.600,1.500,1.500
Cambé,-,-,-,37.200,35.200,35.200,2.350,2.950,5.500
Cambira,4,-,-,7.300,7.600,7.900,4.600,4.000,5.400
Campina da Lagoa,-,-,-,34.300,34.000,36.100,1.500,3.000,7.000
Campina do Simão,1,1,1,10.850,11.270,11.650,1.950,2.100,2.050
Campina Grande do Sul,-,-,-,-,-,70,-,-,-
Campo Bonito,20,20,20,15.725,15.725,15.725,8.000,8.000,8.000
Campo do Tenente,2,2,2,10.000,12.000,12.535,1.300,1.450,850
Campo Largo,2,2,2,10.300,10.500,10.800,690,730,1.500
Campo Magro,-,-,-,4.500,4.550,4.550,500,510,400
Campo Mourão,15,15,12,50.000,49.500,49.200,15.700,14.000,18.500
Cândido de Abreu,25,25,16,22.600,23.100,24.500,7.000,10.000,10.000
Candói,2,2,2,47.800,48.000,49.180,9.800,10.800,10.200
Cantagalo,8,8,3,18.700,19.000,19.300,1.530,1.580,1.650
Capanema,1,1,1,17.580,17.000,18.400,3.500,3.500,5.250
Capitão Leônidas Marques,-,-,-,7.400,7.400,7.400,2.600,2.600,2.600
Carambeí,1,1,1,23.959,23.600,21.800,7.725,8.500,8.000
Carlópolis,25,25,25,2.200,2.600,2.400,100,300,300
Cascavel,4,4,4,86.600,86.600,86.600,26.700,26.700,26.700
Castro,10,8,8,62.565,63.000,54.600,24.720,26.000,22.000
Catanduvas,10,10,10,17.550,17.550,17.550,7.500,7.500,7.500
Centenário do Sul,-,-,-,13.000,13.700,13.500,-,24,24
Cerro Azul,-,-,8,750,750,750,-,-,-
Céu Azul,-,-,-,17.300,17.300,17.300,8.000,8.000,8.000
Chopinzinho,4,4,4,28.100,33.472,32.500,8.000,11.000,11.000
Cianorte,-,-,-,12.000,12.000,12.000,300,300,300
Cidade Gaúcha,130,130,130,970,970,970,-,-,-
Clevelândia,1,1,1,37.900,39.300,39.800,1.300,3.000,3.600
Colombo,-,-,-,-,-,-,-,-,-
Colorado,-,-,-,1.710,1.900,2.327,-,-,-
Congonhinhas,16,16,16,16.030,16.030,16.030,15.600,15.600,15.600
Conselheiro Mairinck,40,40,20,7.900,7.800,8.200,3.200,3.200,2.600
Contenda,2,4,4,15.200,15.420,15.500,2.500,2.600,1.950
Corbélia,-,-,-,33.675,33.675,33.675,6.700,6.700,6.700
Cornélio Procópio,-,-,-,34.840,32.480,32.480,9.270,9.270,8.520
Coronel Domingos Soares,5,5,5,16.500,19.000,19.200,940,2.000,2.000
Coronel Vivida,2,2,2,29.100,29.000,29.800,8.000,7.500,9.000
Corumbataí do Sul,-,-,-,3.200,3.200,4.100,590,600,2.200
Cruz Machado,35,30,30,3.500,3.500,4.200,200,300,400
Cruzeiro do Iguaçu,1,1,1,4.400,4.970,4.950,2.500,2.500,2.800
Cruzeiro do Oeste,-,-,-,6.000,7.800,8.400,-,250,36
Cruzeiro do Sul,-,-,-,4.500,4.244,5.404,-,-,-
Cruzmaltina,-,-,-,10.400,11.000,11.000,800,3.800,3.800
Curitiba,-,-,-,-,30,60,-,-,-
Curiúva,50,55,30,7.560,7.700,8.500,800,800,2.400
Diamante D'Oeste,3,5,-,3.950,4.415,4.560,2.400,765,765
Diamante do Norte,-,-,-,3.783,3.783,3.400,-,-,-
Diamante do Sul,4,4,5,2.000,2.000,2.700,1.100,1.100,1.500
Dois Vizinhos,1,1,1,17.630,17.900,19.800,11.000,11.000,14.700
Douradina,580,1.018,580,1.500,3.000,2.670,-,-,-
Doutor Camargo,-,-,-,9.462,9.430,9.493,30,250,150
Doutor Ulysses,40,40,40,800,850,1.000,-,-,-
Enéas Marques,1,1,1,3.200,3.320,3.530,1.800,2.300,2.490
Engenheiro Beltrão,-,-,-,32.000,35.200,34.580,1.000,1.200,1.000
Entre Rios do Oeste,-,-,-,5.100,5.230,5.230,350,200,10
Esperança Nova,-,-,-,160,300,360,-,-,-
Espigão Alto do Iguaçu,4,4,5,10.000,11.000,11.100,900,1.300,2.100
Farol,-,-,-,19.672,23.000,23.350,4.000,4.500,3.200
Faxinal,2,4,2,15.000,15.000,15.000,6.000,5.000,5.000
Fazenda Rio Grande,-,-,-,1.800,1.830,1.500,-,-,200
Fênix,-,-,-,15.000,15.500,16.400,-,100,600
Fernandes Pinheiro,5,5,2,14.645,15.000,15.500,1.800,2.000,2.500
Figueira,35,30,30,1.600,1.800,1.800,150,150,520
Flor da Serra do Sul,1,1,1,6.300,6.600,6.650,1.200,1.400,1.700
Floraí,-,-,-,12.700,12.720,12.660,-,-,500
Floresta,3,1,2,12.800,12.740,12.800,100,170,310
Florestópolis,-,-,-,8.500,9.500,10.000,75,63,250
Flórida,-,-,-,3.488,3.750,3.900,-,-,12
Formosa do Oeste,-,-,-,15.950,16.100,16.100,300,1.000,350
Foz do Iguaçu,-,-,-,10.260,8.950,9.450,600,400,800
Foz do Jordão,5,3,2,9.900,9.850,10.240,3.600,4.000,3.700
Francisco Alves,-,-,-,19.000,19.000,19.750,-,-,-
Francisco Beltrão,1,1,1,20.700,22.700,25.400,3.400,7.000,6.930
General Carneiro,15,15,15,3.000,3.000,3.500,-,-,-
Godoy Moreira,2,1,1,4.000,6.600,6.600,600,1.980,1.980
Goioerê,-,-,3,32.000,35.000,35.000,100,440,50
Goioxim,5,5,2,20.600,22.000,20.870,4.100,4.600,4.200
Grandes Rios,15,2,5,4.000,5.500,5.500,1.900,3.025,3.025
Guaíra,-,-,-,33.790,33.910,33.955,600,800,700
Guairaçá,-,-,-,-,-,10,-,-,-
Guamiranga,10,10,2,7.800,7.000,7.300,550,600,600
Guapirama,30,30,10,6.200,6.600,6.600,3.500,3.500,3.500
Guaporema,-,-,-,1.565,1.565,1.565,-,-,-
Guaraci,-,-,-,4.100,3.900,4.000,-,-,-
Guaraniaçu,8,8,10,20.800,20.800,25.200,8.700,8.700,11.200
Guarapuava,9,47,10,76.000,76.000,75.860,22.700,25.000,23.500
Guaraqueçaba,415,420,422,-,-,-,-,-,-
Guaratuba,566,600,601,-,-,-,-,-,-
Honório Serpa,-,-,-,21.520,22.400,23.920,2.500,3.000,3.000
Ibaiti,70,60,40,12.300,13.600,12.300,3.800,2.800,8.500
Ibema,5,5,5,5.000,5.000,5.000,4.000,4.000,4.000
Ibiporã,-,-,-,16.660,16.000,16.300,1.890,1.100,2.000
Icaraíma,400,600,780,716,281,556,-,-,-
Iguaraçu,-,-,-,9.500,9.500,9.500,32,420,425
Iguatu,1,1,1,3.571,3.571,3.571,600,600,600
Imbaú,1,1,1,3.050,2.750,2.850,1.000,800,1.000
Imbituva,5,5,5,26.000,30.500,30.900,3.100,3.200,3.200
Inácio Martins,5,2,5,4.000,8.000,7.820,50,100,100
Inajá,-,-,-,1.183,1.828,774,-,-,-
Indianópolis,-,-,-,1.600,1.600,1.600,-,-,-
Ipiranga,2,2,2,29.051,28.650,31.400,4.944,7.500,9.000
